CUST_ID,PROD_NUM,QTY,DATE,SALES_ID
587,87634,1,2012-01-09,34823
922,88734,1,2012-01-09,34824
433,99207,2,2012-01-09,34825
64,98243,1,2012-01-09,34826
922,77623,3,2012-01-09,34827
922,88734,24,2012-01-09,34828
331,282009,2,2012-01-09,34829
482,87634,1,2012-01-09,34830
3221,92387,15,2012-01-09,34831
452,282299,2,2012-01-09,34832
64,77624,17,2012-01-09,34833
895,88211,31,2012-01-09,34834
1993,92387,2,2012-01-09,34835
720,282009,2,2012-01-09,34836
830,282299,1,2012-01-09,34837
176,77623,1,2012-01-09,34838
128,88734,4,2012-01-09,34839
97,99202,1,2012-01-09,34840
322,99202,6,2012-01-09,34841
7,98243,1,2012-01-24,34842
11,77623,2,2012-01-24,34843
482,88734,1,2012-01-24,34844
3221,282009,1,2012-01-24,34845
452,99202,23,2012-01-24,34846
64,92387,4,2012-01-24,34847
895,282009,7,2012-01-24,34848
1993,92387,3,2012-01-24,34849
720,99207,1,2012-01-24,34850
102,98243,1,2012-01-24,34851
227,77623,1,2012-01-24,34852
323,99207,2,2012-01-24,34853
47,92387,1,2012-01-24,34854
431,87659,1,2012-01-24,34855
24,45641,5,2012-01-24,34856
19,88734,7,2012-01-24,34857
773,45641,4,2012-01-24,34858
647,45628,2,2012-01-24,34859
773,45628,10,2012-01-24,34860
